id,reviews,source
1,Taste just like the real thing. You can't tell that it's plant based. Will order again.,amazon
2,"Flavor, multiple uses in cooking.",amazon
3,Love this product easy to spread,amazon
4,"We have ordered this flavorful salted spread many times. Good flavor, spreads fairly smoothly, excellent on baked potatoes & added bonus, great to use in frying pan for sautéing.",amazon
5, If your a plant-based chef you need this in your arsenal. It works wonders.,amazon
6,"My mother always cooked and baked with butter. I remember many Sunday dinners that included flaky, buttery biscuits, spread with real butter. I love the taste of butter, but I've now been a vegetarian for decades, and I'm not going to put butter, which, though delicious, is loaded with saturated and trans fats, into my body. I love Earth Balance because it's vegan, and it doesn't contain all the unhealthy fats that real butter does. But, it tastes like real butter! As someone who grew up with real butter spread on her morning English muffins, on her afternoon toast, on her Sunday biscuits and cornbread, etc., I do know the taste of butter when I encounter it. I didn't like the taste of many of the ""healthy"" margarines I was buying, but Earth Balance gives me that wonderful buttery taste along with omega-3s, and no GMOs or preservatives. It's butter that's actually good for me! And, as an added bonus, I can cook with it and bake with it in addition to spreading it on my morning English muffin. To me, that's like ""having my butter and eating it, too!"" The original is the only formulation I've tried, but I have no doubt that I'll love the others just as much. This spreads easily, and because it is healthy and plant-based, I can spread it on a little more thickly than I used to spread on margarine. And my childhood taught me not to spare the butter! This will be my go-to brand as long as it's available. If you like butter, I think you're going to love Earth Balance.",amazon
7,Have use this product for awhile.,amazon
8,Fantastic taste! Super easy to spread.,amazon
9,"Doesn’t spread well unless softened so I always use a hot utensil for it. Pricey too but worth it, I suppose.",amazon
10,"I'm a butter person, however when going on the Daniel fast, I could not have any dairy. The Earth Balance spread is as close to butter as I have ever found. I highly recommend it.",amazon
11,"I like the brand. But the organic butter tastes better. I'm not sure why but this one leaves a bit of a weird aftertaste. I love all types of butter and the organic one tastes the most similar to the real thing. If I had to pick don't get the original, get the organic.",amazon
