id,reviews,source
1,We usually buy Smart Balance.&nbsp; We use it on potatoes and sometimes melt it to go on vegetables like brocolli.&nbsp;,influenster
2,This butter on whole grain bread is SO AMAZING! I’ve been eating this for so long and I can not complain.,influenster
3,Love it and super easy to spread on my toast. Flavor is good too. Not too salty like some butters.,influenster
4,smart balance butter has great flavor and is so much better for you than some other alternatives. have been buying this brand for years and am obsessed with it,influenster
5,Love the taste of this brand and that it contains omegas! It is a bit salty and you don’t need to add much. It is also a bit pricey but I don’t use it often. Great on toast and made eggs with it before as well.,influenster
6,This is the only butter we use it’s heart healthy low cholesterol and it taste good!! Great price,influenster
7,"My family has gotten to the point of actually preferring smart balance over real butter. It tastes great and spreads smoothly, even directly out of the refrigerator.",influenster
8,"I love smart balance butter, it tastes just as good as real butter to me! In fact, I don’t even need real butter any longer.",influenster
9,Easy to use and one of my favorite butter spreads. I highly recommend it for cooking and for baking purposes. I like this better compared to other brands of butter because it’s not as greasy or upset my stomach as much.,influenster
10,So glad to have this available as an alternative to butter as my husband is highly allergic to dairy. It works for baking just like real butter and has a great taste even just on toast. The only draw back is the high priced point.,influenster
11,I got this once and I fell in love with it. It’s creamy and buttery but I love that’s it’s gmo free. I would definitely recommend it. This is now the only butter I buy.,influenster
12,Smart balance is the only butter I will buy. The flavor and health benefits top any other butter I have tried. This butter actually tastes GOOD. If you haven’t tried it you are missing out!!! Totally worth the extra money hands down!!,influenster
13,"This is my favorite butter for anything and everything. I have been using this butter ever since childhood. I love the taste, it’s very smooth, and extremely easy to spread. I use it with food from toast to pasta.",influenster
14,smart balance buttery spread is great for slender like me because it tastes exactly like butter but has no dairy in it. i’m allergic to dairy so this is the best alternative,influenster
15,This product has a light flavor and I use on whole wheat toast or on cooked veggies. I use it weekly and I plan to purchase it again.,influenster
16,Got this for my daughter since she has a dairy AND soy allergy. This is the only margarine that I’ve been able to find that’s made without soybean oil that I can get at a regular grocery store.,influenster
17,This is one of my favorite butters. It’s smooth and creamy and tastes absolutely amazing.,influenster
18,"This butter has been a lifesaver, my husband is lactose intolerant and for so long I was unable to make anything that used butter because of his allergy until we found this one. It has the same buttery taste while eliminating the lactose so he can enjoy",influenster
19,"This butter helps you keep your good cholesterol levels in check. It has 60% less saturated fat than regular butter, and it tastes great. It also has beneficial Omega oils. Great option if you need butter but not all the negative effects regular butter has.",influenster
20,"Honestly why keep on using butter when this is such a perfect alternative! I’ve always used this alternative butter and honestly it does taste like butter. I use it to cook or to spread on toast. Since I can’t eat dairy and have to be on a low cholesterol diet, this is just for me and many of you guys!",influenster
21,"As far as spreadable butter or vegetable oil products, this is number one in my book. Not only is it more healthy for you than butter, but it tastes exactly like butter to me. The only thing I don't use it for is baking. So I don't know how well it works there. But for everything else, it works beautifully, is very spreadable, and is much healthier for you than regular butter. My dad has heart disease issues and has used to this for years after a recommendation from his doctor.",influenster
22,"Seriously the best tasting ""butter"" ever. And it's good for you and doesn't contain a bunch of junk like other none butters.",influenster
23,"This is my personal go-to for a butter substitute. It has a good amount of flavor without the heavy feeling of real butter. It works well for cooking, baking, and spreading. I think it tastes great and works well for a variety of uses while being a healthier choice. I've been using it for a while now and will continue to use it",influenster
24,"Wasn't found of this, it wasn't that great. Didn't have a good texture and tasted really oily! Wouldn't buy it again.",influenster
25,"This is definitely the best tasting butter Ive tried. Im very picky about the flavor/texture of butter but this one is great. The price is a little higher than other butter but the flavor surely makes it worth it. If you're looking for something new to try, please give this a shot!",influenster
26,Smart Balance is overall a great alternative to butter if you are watching your fat intake. This still has a decent amount of fat but the overall contents seem to be a bit healthier than real butter. The taste is great as well and I usually get this instead.,influenster
